用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-FUN-001,云相册主页下拉菜单打开,打开云相册主页,1. 点击右上角下拉箭头,"1. 下拉菜单展开
2. 显示选择、回收站、下载、上传选项",高,无
TC-FUN-002,云相册主页下拉菜单关闭,下拉菜单已展开,"1. 再次点击下拉箭头
2. 或点击菜单外部区域","1. 下拉菜单收起
2. 返回到主页显示",高,无
TC-FUN-003,点击选择进入选择模式,下拉菜单已展开,"1. 点击""选择""选项","1. 进入选择照片模式
2. 显示已选择0张照片
3. 显示取消、确定、全选、删除、下载按钮",高,无
TC-FUN-004,单张照片选中,在选择照片模式,1. 点击任意一张照片,"1. 照片显示选中状态（打勾）
2. 已选择数量增加1",高,无
TC-FUN-005,多张照片选中,在选择照片模式,"1. 点击第一张照片
2. 点击第二张照片
3. 点击第三张照片","1. 三张照片都显示选中状态
2. 已选择数量显示为3",高,无
TC-FUN-006,取消选中照片,已选中某张照片,1. 再次点击已选中的照片,"1. 照片取消选中状态
2. 已选择数量减少1",高,无
TC-FUN-007,全选照片,在选择照片模式，未选择任何照片,"1. 点击""全选""按钮","1. 所有照片显示选中状态
2. 已选择数量显示为总数",高,无
TC-FUN-008,取消全选,在选择照片模式，已全选所有照片,"1. 点击""全选""按钮","1. 所有照片取消选中状态
2. 已选择数量显示为0",高,无
TC-FUN-009,选择模式点击确定,在选择照片模式，已选中照片,"1. 点击""确定""按钮","1. 退出选择模式
2. 返回到云相册主页",高,无
TC-FUN-010,选择模式点击取消,在选择照片模式,"1. 点击""取消""按钮","1. 退出选择模式
2. 返回到云相册主页
3. 不保存选中状态",高,无
TC-FUN-011,删除选中照片,在选择照片模式，已选中照片,"1. 点击""删除""按钮","1. 显示删除确认提示
2. 或直接删除选中照片
3. 照片从列表中移除",高,需确认是否有确认提示
TC-FUN-012,下载选中照片,在选择照片模式，已选中照片,"1. 点击""下载""按钮","1. 开始下载选中照片
2. 显示下载进度",高,无
TC-FUN-013,点击回收站,下拉菜单已展开,"1. 点击""回收站""选项","1. 进入回收站页面
2. 显示回收站照片列表",高,无
TC-FUN-014,清空回收站确认,在回收站页面,"1. 点击""删除""/清空按钮
2. 观察确认弹窗","1. 显示清空回收站确认弹窗
2. 显示确认提示文字
3. 显示确定和取消按钮",高,无
TC-FUN-015,确认清空回收站,清空回收站确认弹窗已显示,"1. 点击""确定""按钮","1. 清空回收站所有照片
2. 关闭确认弹窗
3. 返回到回收站页面（无照片）",高,无
TC-FUN-016,取消清空回收站,清空回收站确认弹窗已显示,"1. 点击""取消""按钮","1. 关闭确认弹窗
2. 返回到回收站页面
3. 回收站照片保持不变",高,无
TC-FUN-017,回收站点击取消,在回收站页面,"1. 点击""取消""按钮","1. 退出回收站
2. 返回到云相册主页",中,无
TC-FUN-018,点击下载进入下载,下拉菜单已展开,"1. 点击""下载""选项","1. 进入下载流程
2. 显示下载界面",高,无
TC-FUN-019,下载进度显示,正在下载照片,"1. 观察下载进度条
2. 观察已下载数量
3. 观察剩余数量","1. 进度条显示下载进度
2. 已下载数量正确显示
3. 剩余数量正确显示",高,无
TC-FUN-020,下载完成,照片正在下载中,1. 等待下载完成,"1. 进度条满
2. 显示下载完成提示
3. 返回到云相册主页",高,无
TC-FUN-021,点击上传,下拉菜单已展开,"1. 点击""上传""选项","1. 进入上传流程
2. 显示上传界面",高,无
TC-FUN-022,云相册照片网格滚动,打开云相册主页,"1. 向上滚动照片网格
2. 向下滚动照片网格","1. 网格向上滚动，加载更多照片
2. 网格向下滚动，查看之前照片",高,无
TC-FUN-023,云相册照片点击查看,打开云相册主页，不在选择模式,1. 点击任意一张照片,"1. 打开照片详情页面
2. 显示照片大图",高,无
TC-UI-001,云相册主页布局检查,打开云相册主页,"1. 观察主页整体布局
2. 检查顶部标题
3. 检查照片网格
4. 检查底部导航","1. 整体布局整齐美观
2. 标题""照片""显示正确
3. 照片网格布局整齐
4. 底部导航显示正确",高,无
TC-UI-002,下拉菜单布局检查,下拉菜单已展开,"1. 观察下拉菜单布局
2. 检查各选项顺序
3. 检查选项间距","1. 下拉菜单布局整齐
2. 选项顺序正确
3. 选项间距合理",高,无
TC-UI-003,下拉菜单选项检查,下拉菜单已展开,"1. 检查""选择""选项
2. 检查""回收站""选项
3. 检查""下载""选项
4. 检查""上传""选项","1. ""选择""选项显示正确
2. ""回收站""选项显示正确
3. ""下载""选项显示正确
4. ""上传""选项显示正确",高,无
TC-UI-004,选择模式页面布局检查,在选择照片模式,"1. 观察选择模式整体布局
2. 检查顶部取消按钮
3. 检查已选择数量
4. 检查确定按钮
5. 检查底部全选、删除、下载按钮","1. 整体布局整齐
2. 取消按钮显示正确
3. 已选择数量显示正确
4. 确定按钮显示正确
5. 底部按钮显示正确",高,无
TC-UI-005,照片未选中状态检查,在选择照片模式，未选择照片,"1. 检查照片显示状态
2. 检查未选中图标","1. 照片显示正常
2. 未选中图标显示正确",中,无
TC-UI-006,照片选中状态检查,在选择照片模式，已选中照片,"1. 检查照片选中状态
2. 检查选中图标","1. 照片显示选中状态
2. 选中图标（打勾）显示正确",中,无
TC-UI-007,回收站页面布局检查,在回收站页面,"1. 观察回收站整体布局
2. 检查顶部取消按钮
3. 检查标题""回收站""
4. 检查删除按钮","1. 整体布局整齐
2. 取消按钮显示正确
3. 标题显示正确
4. 删除按钮显示正确",高,无
TC-UI-008,清空回收站确认弹窗检查,清空回收站确认弹窗已显示,"1. 检查弹窗标题
2. 检查确认提示文字
3. 检查确定按钮
4. 检查取消按钮","1. 标题""清空回收站""显示正确
2. 确认提示文字显示正确
3. 确定按钮显示正确
4. 取消按钮显示正确",高,无
TC-UI-009,下载进度页面检查,正在下载照片,"1. 检查下载提示文字
2. 检查进度条
3. 检查已下载数量
4. 检查剩余数量","1. 下载提示文字显示正确
2. 进度条显示正确
3. 已下载数量显示正确
4. 剩余数量显示正确",高,无
TC-UI-010,底部导航栏检查,打开云相册主页,"1. 检查云相册按钮
2. 检查拍立得按钮
3. 检查我的按钮
4. 检查选中状态","1. 云相册按钮显示正确
2. 拍立得按钮显示正确
3. 我的按钮显示正确
4. 云相册按钮显示选中状态",高,无
TC-UI-011,颜色和样式检查,打开云相册主页,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色
4. 检查选中状态颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计
4. 选中状态颜色符合设计",中,无
TC-UI-012,照片网格布局检查,打开云相册主页,"1. 检查照片网格列数
2. 检查照片间距
3. 检查照片尺寸","1. 网格列数符合设计
2. 照片间距合理
3. 照片尺寸统一",中,无
TC-INT-001,下拉箭头悬停效果,打开云相册主页,1. 鼠标悬停在下拉箭头上,1. 下拉箭头显示悬停效果,中,无
TC-INT-002,下拉菜单选项悬停效果,下拉菜单已展开,"1. 鼠标悬停在""选择""选项上
2. 鼠标悬停在""回收站""选项上
3. 鼠标悬停在""下载""选项上
4. 鼠标悬停在""上传""选项上","1. ""选择""选项显示悬停效果
2. ""回收站""选项显示悬停效果
3. ""下载""选项显示悬停效果
4. ""上传""选项显示悬停效果",中,无
TC-INT-003,照片点击反馈,在选择照片模式,1. 点击照片,1. 照片显示点击反馈,中,无
TC-INT-004,按钮点击反馈,在选择照片模式,"1. 点击取消按钮
2. 点击确定按钮
3. 点击全选按钮
4. 点击删除按钮
5. 点击下载按钮","1. 取消按钮显示点击反馈
2. 确定按钮显示点击反馈
3. 全选按钮显示点击反馈
4. 删除按钮显示点击反馈
5. 下载按钮显示点击反馈",中,无
TC-INT-005,弹窗打开动画,在回收站页面,1. 点击清空按钮,1. 确认弹窗以动画形式打开,中,无
TC-INT-006,进度条动画,正在下载照片,1. 观察进度条动画,1. 进度条动画流畅,中,无
TC-INT-007,页面切换动画,在云相册主页,"1. 点击选择进入选择模式
2. 点击取消返回主页","1. 进入选择模式动画流畅
2. 返回主页动画流畅",中,无
TC-EDGE-001,云相册为空,云相册没有照片,1. 打开云相册主页,"1. 显示空状态提示
2. 提示上传照片",中,无
TC-EDGE-002,回收站为空,回收站没有照片,1. 进入回收站页面,1. 显示空状态提示,中,无
TC-EDGE-003,未选择照片点击删除,在选择照片模式，未选择任何照片,"1. 点击""删除""按钮","1. 提示请先选择照片
2. 不执行删除操作",中,无
TC-EDGE-004,未选择照片点击下载,在选择照片模式，未选择任何照片,"1. 点击""下载""按钮","1. 提示请先选择照片
2. 不执行下载操作",中,无
TC-EDGE-005,下载失败,正在下载照片，网络异常,1. 观察下载结果,"1. 显示下载失败提示
2. 提供重试选项",中,无
TC-EDGE-006,下载过程中退出,正在下载照片,1. 点击返回或退出,"1. 提示是否继续下载
2. 或停止下载",中,需确认预期行为
TC-EDGE-007,大量照片选择,在选择照片模式，云相册有大量照片,"1. 点击""全选""按钮","1. 所有照片选中
2. 已选择数量正确显示
3. 性能流畅",中,无
TC-COMP-001,iPhone 设备测试,使用 iPhone 设备,"1. 在 iPhone 上测试云相册主页
2. 测试选择模式
3. 测试回收站
4. 测试下载功能","1. 主页正常显示
2. 选择模式正常
3. 回收站正常
4. 下载功能正常",高,无
TC-COMP-002,Android 设备测试,使用 Android 设备,"1. 在 Android 上测试云相册主页
2. 测试选择模式
3. 测试回收站
4. 测试下载功能","1. 主页正常显示
2. 选择模式正常
3. 回收站正常
4. 下载功能正常",高,无
TC-COMP-003,小屏幕设备测试,使用小屏幕手机,"1. 在小屏幕手机上测试所有页面
2. 检查页面显示","1. 所有页面正常显示
2. 无元素重叠",中,无
TC-COMP-004,大屏幕设备测试,使用大屏幕手机/平板,"1. 在大屏幕设备上测试所有页面
2. 检查页面显示","1. 所有页面正常显示
2. 布局适配正确",中,无
TC-COMP-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下测试
2. 切换到横屏模式
3. 检查所有页面显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 布局正确适配",中,无
